Station_name,Station_address,Type_oil,Price,City,Full_address,Coords,LAT,LNG
SOC. COMERCIAL MONSERRAT LTDA.,AV. ERCILLA 795,Diesel,1021,Los Ángeles,"AV. ERCILLA 795, Los Ángeles, Chile","(-37.46383, -72.35498)",-37.46383,-72.35498
CONSTANZA ZIPPEL Y CIA LTDA,ALMAGRO 1198,Bencina 93,1197,Los Ángeles,"ALMAGRO 1198, Los Ángeles, Chile","(-37.45889, -72.34806)",-37.45889,-72.34806
CONSTANZA ZIPPEL Y CIA LTDA,ALMAGRO 1198,Bencina 95,1225,Los Ángeles,"ALMAGRO 1198, Los Ángeles, Chile","(-37.45889, -72.34806)",-37.45889,-72.34806
CONSTANZA ZIPPEL Y CIA LTDA,ALMAGRO 1198,Bencina 97,1239,Los Ángeles,"ALMAGRO 1198, Los Ángeles, Chile","(-37.45889, -72.34806)",-37.45889,-72.34806
CONSTANZA ZIPPEL Y CIA LTDA,ALMAGRO 1198,Diesel,1021,Los Ángeles,"ALMAGRO 1198, Los Ángeles, Chile","(-37.45889, -72.34806)",-37.45889,-72.34806
Combustibles Santa Inés de Curiche Limi...,Avda. Alemania 1065,Bencina 93,1222,Los Ángeles,"Avda. Alemania 1065, Los Ángeles, Chile","(-37.46773, -72.33308)",-37.46773,-72.33308
Combustibles Santa Inés de Curiche Limi...,Avda. Alemania 1065,Bencina 95,1248,Los Ángeles,"Avda. Alemania 1065, Los Ángeles, Chile","(-37.46773, -72.33308)",-37.46773,-72.33308
Combustibles Santa Inés de Curiche Limi...,Avda. Alemania 1065,Bencina 97,1271,Los Ángeles,"Avda. Alemania 1065, Los Ángeles, Chile","(-37.46773, -72.33308)",-37.46773,-72.33308
Combustibles Santa Inés de Curiche Limi...,Avda. Alemania 1065,Diesel,1039,Los Ángeles,"Avda. Alemania 1065, Los Ángeles, Chile","(-37.46773, -72.33308)",-37.46773,-72.33308
Ruiz Quiroz  SA // 96.719.060-8,Villagran 747,Bencina 93,1197,Los Ángeles,"Villagran 747, Los Ángeles, Chile","(-37.46444, -72.34796)",-37.46444,-72.34796
Ruiz Quiroz  SA // 96.719.060-8,Villagran 747,Bencina 95,1225,Los Ángeles,"Villagran 747, Los Ángeles, Chile","(-37.46444, -72.34796)",-37.46444,-72.34796
Ruiz Quiroz  SA // 96.719.060-8,Villagran 747,Bencina 97,1239,Los Ángeles,"Villagran 747, Los Ángeles, Chile","(-37.46444, -72.34796)",-37.46444,-72.34796
Ruiz Quiroz  SA // 96.719.060-8,Villagran 747,Diesel,1021,Los Ángeles,"Villagran 747, Los Ángeles, Chile","(-37.46444, -72.34796)",-37.46444,-72.34796
HUGO NAJLE HAYE,Diego de Almagro 1806,Bencina 93,1197,Los Ángeles,"Diego de Almagro 1806, Los Ángeles, Chile","(-37.4674, -72.34984)",-37.4674,-72.34984
HUGO NAJLE HAYE,Diego de Almagro 1806,Bencina 95,1225,Los Ángeles,"Diego de Almagro 1806, Los Ángeles, Chile","(-37.4674, -72.34984)",-37.4674,-72.34984
HUGO NAJLE HAYE,Diego de Almagro 1806,Bencina 97,0,Los Ángeles,"Diego de Almagro 1806, Los Ángeles, Chile","(-37.4674, -72.34984)",-37.4674,-72.34984
HUGO NAJLE HAYE,Diego de Almagro 1806,Diesel,1021,Los Ángeles,"Diego de Almagro 1806, Los Ángeles, Chile","(-37.4674, -72.34984)",-37.4674,-72.34984
Servicios Forestales e Industriales Ltda...,Loteo El Avellanito A- 2,Bencina 93,0,Los Ángeles,"Loteo El Avellanito A- 2, Los Ángeles, Chile","(-37.4501, -72.32776)",-37.4501,-72.32776
Servicios Forestales e Industriales Ltda...,Loteo El Avellanito A- 2,Bencina 95,0,Los Ángeles,"Loteo El Avellanito A- 2, Los Ángeles, Chile","(-37.4501, -72.32776)",-37.4501,-72.32776
Servicios Forestales e Industriales Ltda...,Loteo El Avellanito A- 2,Bencina 97,0,Los Ángeles,"Loteo El Avellanito A- 2, Los Ángeles, Chile","(-37.4501, -72.32776)",-37.4501,-72.32776
Servicios Forestales e Industriales Ltda...,Loteo El Avellanito A- 2,Diesel,1049,Los Ángeles,"Loteo El Avellanito A- 2, Los Ángeles, Chile","(-37.4501, -72.32776)",-37.4501,-72.32776
Sociedad Villanueva Jara Ltda,Los Carreras 1420,Bencina 93,1252,Los Ángeles,"Los Carreras 1420, Los Ángeles, Chile","(-37.48816, -72.34239)",-37.48816,-72.34239
Sociedad Villanueva Jara Ltda,Los Carreras 1420,Bencina 95,1281,Los Ángeles,"Los Carreras 1420, Los Ángeles, Chile","(-37.48816, -72.34239)",-37.48816,-72.34239
